block,plot,nutrient_levels,salt_presence,ID,coloration,drySampleWeight_mg_Week0,drySampleWeight_mg_Week1,drySampleWeight_mg_Week2,drySampleWeight_mg_Week3,drySampleWeight_mg_Week4,drySampleWeight_mg_Week5,Na_ppm_Week0,NH4_ppm_Week0,K_ppm_Week0,Ca_ppm_Week0,Mg_ppm_Week0,Na_ppm_Week1,NH4_ppm_Week1,K_ppm_Week1,Ca_ppm_Week1,Mg_ppm_Week1,Na_ppm_Week2,NH4_ppm_Week2,K_ppm_Week2,Ca_ppm_Week2,Mg_ppm_Week2,Na_ppm_Week3,NH4_ppm_Week3,K_ppm_Week3,Ca_ppm_Week3,Mg_ppm_Week3,Na_ppm_Week4,NH4_ppm_Week4,K_ppm_Week4,Ca_ppm_Week4,Mg_ppm_Week4,Na_ppm_Week5,NH4_ppm_Week5,K_ppm_Week5,Ca_ppm_Week5,Mg_ppm_Week5,F_ppm_Week0,Cl_ppm_Week0,NO2_ppm_Week0,Br_ppm_Week0,NO3_ppm_Week0,PO4_ppm_Week0,SO4_ppm_Week0,F_ppm_Week1,Cl_ppm_Week1,NO2_ppm_Week1,Br_ppm_Week1,NO3_ppm_Week1,PO4_ppm_Week1,SO4_ppm_Week1,F_ppm_Week2,Cl_ppm_Week2,NO2_ppm_Week2,Br_ppm_Week2,NO3_ppm_Week2,PO4_ppm_Week2,SO4_ppm_Week2,F_ppm_Week3,Cl_ppm_Week3,NO2_ppm_Week3,Br_ppm_Week3,NO3_ppm_Week3,PO4_ppm_Week3,SO4_ppm_Week3,F_ppm_Week4,Cl_ppm_Week4,NO2_ppm_Week4,Br_ppm_Week4,NO3_ppm_Week4,PO4_ppm_Week4,SO4_ppm_Week4,F_ppm_Week5,Cl_ppm_Week5,NO2_ppm_Week5,Br_ppm_Week5,NO3_ppm_Week5,PO4_ppm_Week5,SO4_ppm_Week5
a,1,medium,yes,a1nMsY,orange,498.8,447.8,517.2,488.4,454.8,506.7,5.059963,4.322293,8.295371,27.01456,4.06109,77.98721,-1.08489,6.503857,17.96988,0.801234,58.09251,-0.88488,5.575459,16.58341,0.674542,83.61222,-0.72488,6.153805,11.86475,0.281795,79.65354,-0.41286,4.692721,15.9193,0.497172,18.5407,-35.3068,-14.48,-37.5067,-14.7651,0.001468,6.359616,-1.06998,-1.37437,0.372374,-4.0947,339.4459,0.001468,83.20266,-1.06998,-1.37437,-0.29119,-4.14173,59.38811,0.99481006,67.81049122,1.623588609,1.396461538,11.57929565,3.595405153,13.66559822,0.99481006,93.97833194,1.623588609,1.396461538,9.297748243,2.692429154,10.51568843,0.99481006,99.11734712,1.623588609,1.396461538,8.210658008,2.692429154,9.082196542,0.99481006,23.64688767,1.623588609,1.396461538,2.600735559,2.692429154,6.158627567
a,2,high,yes,a2nHsY,green,528.8,458.5,493.1,499.9,449.2,495.5,5.277621,4.439005,8.895371,28.79348,4.221123,70.07904,0.115165,6.686493,25.85762,0.936373,23.39416,-0.68487,2.516313,5.969329,-0.26721,90.91278,-0.66887,7.264839,19.06508,0.214226,61.84866,-0.37286,3.9013,13.84542,0.125541,203.6029,-34.7569,5.408956,26.13695,-12.2122,0.001468,-1.39318,-0.90917,-1.37437,1.647449,-4.07119,89.71785,0.001468,75.16743,-1.06998,-1.37437,20.26615,-3.36577,5.846814,0.99481006,42.74167525,1.623588609,1.396461538,33.10636648,7.397409358,18.36217032,0.99481006,103.7835975,1.623588609,1.396461538,48.92956879,8.062760094,18.73940502,0.99481006,61.32685917,1.623588609,1.396461538,25.3491053,2.692429154,12.40186196,0.99481006,101.5425693,1.623588609,1.396461538,34.36792799,2.692429154,17.28705141
a,3,medium,no,a3nMsN,orange,506.3,495.6,554.6,477.4,468.7,511.9,4.662499,4.288947,8.121687,27.03926,4.202834,2.054085,-1.1089,5.97117,19.88065,1.09685,1.289967,-0.02884,4.586183,25.35663,2.135728,3.149629,-0.58087,6.047268,21.11566,1.438919,1.520123,-0.26085,3.87086,16.4436,0.522511,-8.03569,-34.9895,0.598407,22.59263,-11.3872,0.001468,1.169904,-1.06998,-1.15864,1.140021,-4.49444,1.129478,0.001468,3.549405,-0.94134,-1.37437,5.030303,-4.49444,1.195127,0.99481006,4.625777736,1.745419584,1.396461538,10.88141056,3.35777989,6.667894421,0.99481006,5.147660998,1.623588609,1.396461538,5.996214936,2.692429154,9.157643483,0.99481006,4.582799114,1.623588609,1.396461538,3.969664003,2.692429154,9.591463395,0.99481006,6.479998266,1.623588609,1.396461538,4.238081346,2.692429154,10.30820934
a,4,high,no,a4nHsN,green,500.2,475.8,490.2,523.5,491.2,461.1,4.71928,4.397322,7.900634,25.76684,3.974215,2.468366,-0.96489,7.021325,33.92013,1.574058,1.253142,-0.33286,4.981894,26.91786,1.253104,2.468366,-0.59687,7.417035,26.80135,0.640757,1.998848,-0.33286,7.706208,19.68258,0.581634,-10.2484,-34.7357,7.38977,35.47546,-10.9635,0.001468,-1.41436,-1.06998,-1.09226,1.595406,-4.49444,45.89259,0.001468,-0.55294,-1.06998,-1.37437,17.67697,-2.7309,19.57679,0.99481006,5.405532727,1.745419584,1.396461538,20.43706794,4.213230836,9.025611336,0.99481006,5.448511349,1.623588609,1.396461538,32.43532313,6.304333149,57.33051549,0.99481006,4.619637933,1.623588609,1.396461538,28.07354132,10.62911293,17.60770091,0.99481006,5.153800801,1.623588609,1.396461538,58.01549582,12.67269019,18.32444685
a,5,control,no,a5nCsN,clear,490.1,474.8,491.3,481.9,564.1,472.8,4.511085,4.54738,6.763791,25.58153,4.413164,4.705484,-0.86088,7.873624,22.32736,0.915257,3.26931,-0.82088,5.940731,24.20318,1.379796,6.141659,-0.78088,6.001609,22.75845,1.113742,2.044879,-0.19685,4.540524,21.24382,0.505618,-8.03569,-34.778,-1.98878,37.44795,-9.62573,0.001468,-1.5697,-1.06998,-1.37437,0.034089,-4.49444,0.876261,0.001468,-1.06838,-1.06998,-1.37437,3.247799,-4.49444,2.00167,0.99481006,6.952763103,1.623588609,1.396461538,5.808322796,2.692429154,7.743013334,0.99481006,4.914348481,1.623588609,1.396461538,4.533340422,2.692429154,7.610981187,0.99481006,5.080123164,1.623588609,1.396461538,4.842020365,2.692429154,8.6861001,0.99481006,8.094766476,1.623588609,1.396461538,4.533340422,2.692429154,11.08154049
a,6,control,yes,a6nCsY,clear,549.2,558.2,517.3,503.4,444.5,475.4,5.589914,4.447341,9.653266,26.76748,4.074807,95.074,-1.04489,9.852177,24.41289,1.654296,40.19556,-0.34886,5.11887,21.74481,0.805457,79.77322,-0.73288,5.301506,11.8764,0.167772,71.75458,-0.26085,4.875356,17.95823,0.015741,5.775279,-35.0953,-15.6119,-38.3696,-15.9803,0.001468,-1.25196,-1.06998,-1.37437,0.918835,-4.49444,1.842237,0.001468,90.05873,-1.06998,-1.37437,1.608417,-4.49444,1.729696,0.99481006,48.99199478,1.623588609,1.396461538,7.767769393,2.692429154,7.309193422,2.487025149,92.74799055,4.058971522,3.491153845,7.239986588,6.731072886,17.99005752,0.99481006,94.37127934,1.623588609,1.396461538,5.848585398,2.692429154,8.025939364,0.99481006,15.46253017,1.623588609,1.396461538,2.426264287,2.692429154,6.02659542
b,1,control,no,b1nCsN,clear,509.9,455.7,475.9,482.2,459.3,542.5,4.615182,4.439005,8.042739,26.58218,4.431453,4.815959,-0.83688,9.623882,13.97358,0.805457,1.289967,-0.37286,3.779542,21.53509,0.716772,3.103597,-0.18085,6.458198,24.96049,0.995496,1.86996,-0.18885,4.160033,19.07673,0.146657,-16.4973,-33.784,-15.6524,-45.3658,-16.1698,0.001468,-1.64737,-0.94134,-1.14204,-0.09602,-4.23579,0.454233,0.001468,-1.66855,-1.06998,-1.37437,0.58055,-4.49444,0.970045,0.99481006,4.674896161,1.623588609,1.396461538,4.305185681,2.692429154,6.554724009,0.99481006,4.926628087,1.623588609,1.396461538,5.258067245,2.692429154,10.06300678,0.99481006,4.865230056,1.623588609,1.396461538,4.345448282,2.692429154,8.912440924,0.99481006,5.534468592,1.623588609,1.396461538,57.06261426,6.399383254,27.81189971
b,2,high,no,b2nHsN,green,577,470.9,507.1,487.9,488.9,469.8,4.74767,4.447341,8.390108,27.49635,4.051945,2.302654,-1.06889,6.945226,38.55723,1.624735,1.105842,-0.31686,3.992617,27.51207,0.759003,2.23821,-0.39686,7.264839,34.7357,0.797011,1.243936,-0.52487,5.56024,28.84028,0.201557,-8.32747,-35.0107,5.934478,65.67921,-12.7138,0.001468,-1.59088,-1.06998,-1.37437,0.541517,-4.23579,0.923153,0.001468,-1.03308,-1.06998,-1.37437,33.48531,-1.95494,6.025004,0.99481006,4.754713601,1.623588609,1.396461538,30.90534428,6.732058622,9.912112896,0.99481006,5.202919225,1.623588609,1.396461538,54.98237986,10.72416304,26.26523742,0.99481006,5.01258533,1.623588609,1.396461538,40.75626073,7.302359253,22.945572,0.99481006,4.245109945,1.623588609,1.396461538,2.479947755,2.692429154,6.328383185
b,3,medium,no,b3nMsN,green,509.8,475.7,484.3,498.1,481.4,553.9,4.227182,4.380649,7.616423,21.83838,4.490894,2.744554,-0.84488,7.158301,29.17816,2.169512,1.142667,-0.50087,3.536028,20.18357,0.416934,2.818204,0.683193,6.914787,21.40693,1.012388,1.667423,-0.35686,4.464426,17.45724,0.222672,-7.67097,-34.4185,2.781345,25.85957,-11.978,0.001468,-2.16281,-1.06998,-1.37437,0.060111,-4.49444,2605.211,0.001468,-1.63325,-1.06998,-1.37437,4.887182,-4.23579,1023.235,0.99481006,4.662616554,1.623588609,1.396461538,8.613284021,2.692429154,6.705617892,2.487025149,11.2881532,4.058971522,3.491153845,14.8227765,6.731072886,18.79168128,0.99481006,4.576659311,1.829764105,1.396461538,7.016200835,2.692429154,12.17552113,0.99481006,6.479998266,1.623588609,1.396461538,6.546470487,2.692429154,12.28869155
b,4,high,yes,b4nHsY,green,517.6,519.8,490.3,532.7,466.3,533.5,4.369134,4.447341,7.363792,26.63159,4.083952,71.7822,-1.07689,7.934503,27.03437,1.806327,37.84797,-0.57287,4.160033,24.70417,1.020834,67.13304,-0.42086,4.236132,16.94459,0.442272,61.45279,-0.50087,3.733884,16.05911,0.336695,291.0156,-36.4066,6.985522,14.14791,-11.6993,0.001468,-1.98629,-1.06998,-1.37437,0.359363,-4.0947,134.7904,0.001468,76.95382,-1.06998,-1.37437,22.86835,-3.64794,1600.663,0.99481006,46.99655878,1.623588609,1.396461538,14.51846555,4.403331047,12.00576552,2.487025149,82.93965513,4.058971522,3.491153845,40.49018483,9.463763408,30.10872247,0.99481006,60.82953512,1.623588609,1.396461538,24.89279581,2.692429154,13.38267219,0.99481006,123.8546137,1.623588609,1.396461538,23.81912645,2.692429154,20.00314129
b,5,medium,yes,b5nMsY,green,576.7,584.5,478.4,495,549.3,459.2,8.21128,4.263937,8.248003,29.42352,4.504611,63.07309,-1.01289,6.351661,24.13327,1.641627,40.67429,-0.56487,3.916519,19.25149,0.463388,80.0494,-0.61287,5.301506,15.24354,0.53518,73.28281,-0.96489,4.357889,9.919025,0.015741,13.77494,-35.201,-15.5311,-42.1297,-16.0472,0.001468,0.739193,-0.9199,-1.37437,0.970879,-4.49444,1.438965,0.001468,71.51698,-1.06998,-1.37437,4.744062,-4.18876,105.2766,0.99481006,45.67650112,1.623588609,1.396461538,9.472219515,3.16767968,6.554724009,0.99481006,78.91739499,1.623588609,1.396461538,10.77404362,2.692429154,10.42137975,0.99481006,68.59024621,1.623588609,1.396461538,7.606718988,2.692429154,12.49617063,0.99481006,14.71347419,1.623588609,1.396461538,2.842311167,2.692429154,5.970010214
b,6,control,yes,b6nCsY,clear,550,555.6,516.9,474.2,501.3,433.1,4.378597,4.388985,7.916423,28.11403,4.143393,80.42686,-1.04489,6.945226,25.077,1.561389,38.53844,-0.42886,4.023057,20.45155,0.585857,83.23477,-0.31686,5.012333,17.17761,0.264903,66.94892,-0.20485,3.88608,18.68059,0.98705,26.44311,-33.509,-15.0056,-45.0576,-16.0584,0.001468,-1.34375,-1.06998,-1.37437,0.72367,-4.49444,867.3749,0.001468,66.98393,-1.06998,-1.37437,-0.13505,-4.49444,1.260776,0.99481006,51.8101644,1.623588609,1.396461538,6.492787019,2.692429154,7.592119452,0.99481006,101.8925381,1.623588609,1.396461538,6.694100025,2.692429154,9.346260836,0.99481006,86.19306164,1.623588609,1.396461538,4.654128226,2.692429154,8.704961835,0.99481006,22.74433662,1.623588609,1.396461538,2.560472958,2.692429154,6.422691862
c,1,high,yes,c1nHsY,green,528.4,573.9,555.3,485.9,576.6,470.6,4.804451,4.405658,8.548003,27.36046,4.070235,91.64927,-1.00489,9.030316,31.61322,1.688081,38.29908,-0.74088,4.28179,18.65729,0.454941,82.47985,-0.25285,6.245123,15.90765,0.226895,88.18773,-0.38086,5.864632,15.9193,0.463388,13.3859,-34.7357,-15.5311,-44.3179,-15.7796,0.001468,-1.85213,-1.06998,-1.37437,-0.14807,-4.18876,1.204505,0.001468,108.8123,-1.06998,-1.37437,29.76417,-2.42522,680.2758,0.99481006,39.91736583,1.623588609,1.396461538,30.85166081,6.684533569,11.17584916,0.99481006,80.94966981,1.623588609,1.396461538,44.01753143,3.833030416,28.37775177,0.99481006,90.56460143,1.623588609,1.396461538,26.50329987,2.692429154,16.87209323,0.99481006,15.95371442,1.623588609,1.396461538,8.398550147,2.692429154,6.837650039
c,2,high,no,c2nHsN,green,534.6,469.8,497.7,540.1,525.6,495.4,5.182987,4.689101,8.705897,29.68294,4.632638,2.744554,-0.98889,6.458198,30.08694,1.15175,2.146148,-0.56487,4.738379,26.2421,0.759003,4.723897,-0.00484,11.81551,33.52399,1.155973,2.551223,0.027161,6.853909,25.61295,0.514065,-16.3758,-34.6723,-14.2779,-34.024,-14.9435,0.001468,-1.22372,-1.06998,-1.37437,0.879802,-4.21227,3.75543,0.001468,-0.89186,-1.06998,-1.37437,22.08769,-1.83737,4.927731,0.99481006,4.945047496,1.745419584,1.396461538,30.27456352,7.682559673,12.51503237,0.99481006,5.479210364,1.623588609,1.396461538,46.9701222,11.67466409,31.32018248,0.99481006,4.938907693,1.623588609,1.396461538,31.40191636,5.638982413,20.55013162,0.99481006,4.288088567,1.623588609,1.396461538,10.31773414,2.692429154,7.384640363
c,3,control,yes,c3nCsY,clear,528.2,488.3,478.4,477.8,523.7,505.2,2.293448,-0.45286,6.032048,16.01251,1.557166,87.34075,0.803199,7.051764,22.57203,1.20665,32.33343,-0.74888,3.292514,17.16596,0.467611,77.06658,-0.22085,4.525305,18.66894,0.615419,70.26316,-0.34086,4.144814,16.4669,0.273349,175.0813,-34.5665,-2.75685,32.67082,-11.2199,0.001468,-1.65443,-1.06998,-1.37437,0.502484,-4.49444,3.295889,0.001468,101.0313,-1.06998,-1.37437,1.244109,-4.49444,2.479968,0.99481006,44.06787272,1.623588609,1.396461538,3.003361572,3.785505363,6.762203098,0.99481006,98.34373193,1.623588609,1.396461538,6.479366151,3.405304943,9.025611336,0.99481006,85.1063165,1.623588609,1.396461538,6.157265341,2.692429154,8.346588864,0.99481006,100.7259755,1.623588609,1.396461538,7.083305171,2.692429154,9.157643483
c,4,control,no,c4nCsN,clear,541.2,486.6,534.5,504,493.8,458.6,2.38551,-0.67687,6.199464,14.68429,1.814774,1.022986,-0.86888,2.790266,12.09777,0.003072,1.096636,-0.56487,3.962178,23.23614,0.687211,2.845823,-0.05284,5.666777,21.0341,0.374703,2.229004,-0.38886,4.388328,19.10003,0.340918,-16.6189,-34.7992,-16.6225,-38.6778,-16.9948,0.001468,-1.18135,-0.90917,-1.37437,0.307319,-4.23579,57.08102,0.001468,-1.0825,-1.06998,-1.37437,0.658615,-4.49444,3.061429,0.99481006,4.576659311,1.623588609,1.396461538,5.768060195,2.692429154,10.17617719,0.99481006,5.123101785,1.623588609,1.396461538,3.070465908,2.692429154,10.94950834,0.99481006,5.516049182,1.623588609,1.396461538,4.305185681,2.692429154,10.85519966,0.99481006,4.091614868,1.623588609,1.396461538,2.453106021,2.692429154,7.045129127
c,5,medium,yes,c5nMsY,orange,523.8,475.1,523.2,524.8,479.4,493.7,2.643285,-0.81288,6.823469,14.83576,0.889919,97.51365,-0.88488,8.132358,16.80478,0.720996,44.93678,-0.71688,4.875356,20.14862,0.826573,63.77276,0.323175,4.677501,16.82808,0.704103,77.99641,-0.54887,4.799258,16.43195,-0.02227,29.77428,-34.9472,-12.3779,-42.7153,-16.4708,0.001468,-1.23078,-1.06998,-1.37437,0.008067,-4.49444,1.804723,0.001468,120.4203,-1.06998,-1.37437,5.017292,-4.11822,2.564374,0.99481006,55.51246565,1.623588609,1.396461538,7.150409507,2.692429154,8.667238365,0.99481006,78.74548051,1.623588609,1.396461538,9.606428186,2.692429154,10.83633793,0.99481006,98.74895894,1.623588609,1.396461538,7.700665058,2.692429154,9.666910337,0.99481006,24.42050286,1.623588609,1.396461538,2.869152901,2.692429154,7.856183746
c,6,medium,no,c6nMsN,orange,562,517.7,538.2,497.9,488.3,553.6,2.486779,-0.53287,6.488637,16.14067,1.016611,5.036909,-0.58087,8.543288,30.786,2.503136,2.192179,-0.66087,6.229904,20.84768,1.003942,3.840097,0.00316,8.8629,25.51974,1.303781,2.063292,-0.30886,5.13409,17.77181,0.408488,-7.4035,-34.4819,1.528177,27.46222,-11.9557,0.001468,-1.4426,-1.06998,-1.37437,0.905824,-4.07119,1.382695,0.001468,-1.38612,-1.06998,-1.37437,6.513554,-4.49444,1.429587,0.99481006,5.098542573,1.623588609,1.396461538,12.25033901,2.692429154,8.195694982,0.99481006,5.264317256,1.623588609,1.396461538,16.3302826,3.500355048,12.25096808,0.99481006,4.840670844,1.623588609,1.396461538,9.418536047,2.692429154,8.931302659,0.99481006,8.334218796,1.623588609,1.396461538,5.9291106,2.692429154,11.04381701
d,1,high,yes,d1nHsY,green,552.6,514.1,496.6,478.5,443.2,471.8,2.560429,-1.07689,5.910291,18.16795,1.569835,87.13821,-0.88488,7.234399,28.99174,2.034374,24.90399,-0.99689,2.485874,17.15431,0.328249,82.96778,-0.18085,4.981894,20.24183,0.856134,67.16987,-0.36486,4.114374,27.3839,0.488726,226.4104,-36.2374,3.589841,72.92195,-7.26227,0.001468,-1.08956,-1.06998,-1.14204,1.153032,-3.93011,424.583,0.001468,103.3119,-1.06998,-1.37437,29.9203,-3.45983,7.516169,2.487025149,35.89341404,4.058971522,3.491153845,33.3435731,9.107325514,22.61118268,0.99481006,86.99123604,1.623588609,1.396461538,42.67544472,2.692429154,16.85323149,0.99481006,76.43691455,1.623588609,1.396461538,67.31615672,2.692429154,13.66559822,0.99481006,118.1138978,1.623588609,1.396461538,76.92549757,2.692429154,25.92572618
d,2,high,no,d2nHsN,green,536,480.9,516.5,530.1,577.9,466.2,2.192179,-0.77288,4.70794,18.59903,1.274219,3.56391,-0.73288,7.036544,36.43675,1.460035,1.823929,-0.65287,5.088431,19.67093,0.59008,3.812478,-0.45286,10.75013,28.63056,1.265773,2.38551,-0.07684,7.675769,25.46149,0.737888,-6.86857,-36.2585,5.206832,47.98844,-9.22438,0.001468,-1.42848,-1.06998,-1.37437,1.374219,-4.49444,221.7845,0.001468,-1.22372,-1.06998,-1.37437,22.62114,-2.51927,5.452921,0.99481006,4.607358327,1.623588609,1.396461538,31.37507462,9.916237143,11.96804205,0.99481006,5.479210364,1.623588609,1.396461538,38.20629598,12.00733946,35.71496681,0.99481006,4.988026118,1.623588609,1.396461538,25.87251911,6.066707886,19.30525708,0.99481006,5.405532727,1.623588609,1.396461538,31.52270416,6.114232939,20.1163117
d,3,control,yes,d3nCsY,clear,519,481.5,493.2,455,492.8,471.9,1.602979,-0.90889,4.814478,17.29412,1.189758,75.00438,-0.88488,5.362384,18.23785,0.691434,33.59469,-0.74088,3.185977,20.91759,0.539403,64.49085,-0.32486,3.779542,14.59108,0.121318,60.76232,-0.36486,3.642566,20.40494,0.353587,83.72947,-34.8203,-9.10354,-22.0966,-14.2969,0.001468,-1.49203,-1.06998,-1.17523,0.944857,-3.81254,0.529261,0.001468,122.9693,-1.06998,-1.37437,0.840769,-4.49444,1.64529,0.99481006,44.245927,1.623588609,1.396461538,5.164121176,2.692429154,7.026267392,0.99481006,87.67889399,1.623588609,1.396461538,3.822034465,2.692429154,8.610653159,0.99481006,77.44384225,1.623588609,1.396461538,5.164121176,2.692429154,7.592119452,0.99481006,65.05371964,1.623588609,1.396461538,2.64099816,2.692429154,6.441553597
d,4,medium,no,d4nMsN,orange,548.4,523.5,537.5,492.9,452.4,482,3.306135,-0.66087,7.051764,15.59307,0.906811,2.229004,-0.73288,5.103651,10.57148,0.628088,2.956298,-0.63687,5.773315,17.83007,0.716772,5.23024,-0.57287,10.27833,25.44983,1.595173,2.044879,-0.14085,4.449206,14.49788,0.218449,-15.3789,-34.9049,-14.1566,-36.6129,-15.5232,0.001468,-0.22814,-0.88773,-1.37437,-0.44732,-3.88308,1.392073,0.001468,-1.0472,-1.06998,-1.37437,2.115845,-3.97713,1.936021,0.99481006,4.902068875,1.623588609,1.396461538,10.29089241,4.355805994,9.836665955,0.99481006,5.939695595,1.623588609,1.396461538,4.466236086,3.310254838,10.2893476,0.99481006,4.779272813,1.623588609,1.396461538,5.553326321,3.452829995,8.950164395,0.99481006,4.889789268,1.623588609,1.396461538,2.815469433,2.692429154,6.611309215
d,5,medium,yes,d5nMsY,orange,576.2,534.1,511.5,540.3,488.6,488.8,2.192179,-0.67687,5.56024,17.46889,1.248881,66.12956,-0.74088,4.814478,7.192686,1.87812,34.36801,-0.64487,3.779542,19.81074,0.860357,110.8535,-0.56487,6.260343,15.83774,0.594303,57.30077,-0.35686,3.292514,18.55243,0.467611,63.23184,-36.5758,-12.4184,-37.63,-15.2111,0.001468,-1.17429,-0.85557,-1.37437,1.79057,-4.18876,1.082586,0.001468,68.36079,-1.06998,-1.37437,0.98389,-4.49444,2.11421,0.99481006,50.8216561,1.623588609,1.396461538,6.788046095,2.692429154,7.51667251,0.99481006,136.3736722,1.623588609,1.396461538,7.848294596,2.692429154,11.47763693,0.99481006,72.60567743,1.623588609,1.396461538,8.277762343,2.692429154,9.402846042,0.99481006,43.28197792,1.623588609,1.396461538,2.614156426,2.692429154,7.101714333
d,6,control,no,d6nCsN,clear,564,519.7,471.8,488.7,504.4,491.3,2.716935,-0.63687,6.184245,19.368,1.409358,6.546734,-0.54087,12.86566,23.67888,1.574058,1.078223,-0.52487,3.505589,22.51378,0.585857,3.803272,-0.11685,7.934503,32.53365,0.818126,2.75376,-0.22085,5.681997,23.63228,0.167772,-6.47953,-36.2162,2.417522,50.94718,-12.2902,0.001468,-1.11075,-1.06998,-1.37437,1.933691,-4.49444,1.298289,0.001468,-0.40466,-1.06998,-1.37437,2.714349,-4.49444,3.192726,0.99481006,4.902068875,1.623588609,1.396461538,3.486512788,2.692429154,7.384640363,0.99481006,5.129241588,1.623588609,1.396461538,5.459380252,2.692429154,16.89095496,0.99481006,5.147660998,1.623588609,1.396461538,6.680679158,2.692429154,10.74202925,0.99481006,9.568319215,1.623588609,1.396461538,5.781481062,2.692429154,13.00543749
